lower.age.limit,Belgium,Germany,Finland,United Kingdom,Italy,Luxembourg,Netherlands,Poland
0,117.1265,727.613,57.6125,730.0895,556.5445,5.396,192.4635,358.3545
1,115.387,731.862,57.3415,713.1735,554.058,5.4715,199.7975,352.454
2,113.7555,737.003,56.415,693.345,546.379,5.5115,204.207,351.2695
3,114.655,748.5005,56.193,680.7035,541.498,5.631,205.9665,357.683
4,116.69,772.38,56.7635,685.1575,542.9655,5.8225,208.773,369.589
5,116.975,788.971,57.5235,700.208,543.8565,5.909,208.197,378.5175
6,116.8795,792.641,57.624,716.458,537.0085,5.772,205.2635,386.078
7,118.277,810.556,58.5145,731.4705,531.1505,5.7485,201.582,399.44
8,119.3885,814.4865,60.4085,742.5025,532.4205,5.9715,197.7895,417.0295
9,119.0415,794.037,62.3585,744.767,536.234,5.9945,197.4355,432.655
10,119.0785,786.2965,64.591,748.1415,538.7895,5.9425,200.564,451.233
11,121.9275,805.1905,65.525,758.741,548.1045,5.8875,203.2695,473.522
12,126.52,825.262,66.41,779.0965,570.378,5.783,204.233,494.0385
13,129.7505,848.104,66.8675,797.108,588.259,5.6735,206.7095,520.0135
14,130.0345,908.283,66.5945,794.1825,593.945,5.671,208.404,542.064
15,128.065,946.428,65.861,783.3315,589.9895,5.602,204.5735,552.0435
16,126.3395,955.977,64.901,732.508,588.4515,5.464,199.5285,562.3025
17,124.8015,961.852,63.24,725.738,565.7345,5.3445,199.2045,575.8955
18,123.9455,951.3555,62.057,776.584,552.904,5.2715,199.898,595.8215
19,122.741,943.316,63.4625,812.4735,570.629,5.2435,198.195,632.4135
20,122.502,942.6505,65.63,813.346,584.4215,5.2575,196.161,664.7245
21,124.614,960.3645,67.6245,790.5765,604.2595,5.407,194.2885,681.821
22,127.452,990.4455,68.2315,794.0535,628.8565,5.5275,193.8985,674.9815
23,131.2275,1015.1475,66.812,804.287,659.7245,5.7595,197.9595,646.1495
24,133.676,1025.759,65.362,820.811,678.9735,5.7845,202.019,636.289
25,133.941,1008.521,65.2375,818.533,697.345,5.734,200.6545,636.6595
26,133.216,980.8155,65.5085,787.955,728.613,5.931,198.646,623.544
27,132.386,973.944,66.302,765.7705,766.3055,6.1995,198.4885,610.9475
28,131.605,962.403,67.167,762.019,810.3445,6.389,199.011,608.5895
29,130.6165,938.754,66.8095,777.667,854.693,6.5815,201.5885,601.1635
30,132.457,928.88,64.658,802.1415,891.739,6.721,208.0135,581.5695
31,137.4995,938.489,60.407,826.687,910.174,6.7665,217.8695,560.09
32,142.8925,985.8255,58.6445,868.582,917.7285,7.0525,232.1845,540.5995
33,147.8005,1079.98,60.8585,899.606,929.381,7.408,248.684,521.278
34,150.7935,1156.5095,63.1035,893.4545,933.6465,7.6175,261.029,504.0035
35,151.4545,1223.4565,64.9865,907.8325,931.451,7.732,270.001,487.919
36,151.1695,1298.559,68.2945,925.681,945.285,7.8675,268.006,474.74
37,152.012,1348.132,71.9925,923.65,952.741,8.0435,261.7865,468.4425
38,155.5225,1389.93,73.39,916.7975,956.0605,8.163,262.5685,467.089
39,160.113,1416.391,73.8655,913.309,973.11,8.1495,267.049,473.154
40,164.9,1435.04,74.833,906.985,972.0335,8.222,272.7115,483.115
41,166.133,1444.895,76.233,889.864,951.4895,8.1325,273.075,494.402
42,163.168,1420.3835,76.2975,883.3485,928.682,7.834,268.854,502.6245
43,161.7885,1391.29,75.7175,881.567,894.308,7.6645,265.219,514.736
44,160.8765,1364.1895,75.5495,867.417,876.7845,7.515,260.167,540.8495
45,160.227,1327.446,75.4245,841.6185,862.91,7.3675,255.2585,574.437
46,158.8815,1275.3545,74.2685,837.8755,828.7835,7.1935,250.5205,602.7715
47,155.54,1228.5715,74.878,828.227,795.1385,7.089,243.986,620.104
